Altitude (m)	Pressure (Pa)
8358.968971	33790
8360.994692	33786
8364.642215	33768
8379.045035	33710
8417.709021	33506
8442.424502	33393
8431.589801	33443
8420.360935	33499
8432.407029	33432
8447.335363	33360
8478.298655	33215
8464.751037	33275
8484.669457	33173
8487.342517	33163
8414.650156	33519
8419.748881	33494
8421.585176	33485
8446.516688	33366
8465.981739	33272
8443.447362	33376
8438.129842	33406
8461.470042	33286
8532.08783	32954
8459.010135	33299
8458.805175	33304
8496.190228	33105
8543.052652	32895
8471.1116	33244
8559.83788	32828
8492.073858	33141
8543.466699	32883
8506.283848	33072
8507.108351	33071
8509.788545	33060
8516.389583	33034
8530.434003	32960
8546.986921	32873
8613.5265	32557
8614.779166	32546
8633.173107	32470
8618.956068	32534
8605.59729	32592
8586.223119	32686
8586.223119	32683
8590.594027	32664
8592.676211	32655
8591.218628	32663
8593.300967	32652
8671.553794	32299
8617.285058	32541
8644.06124	32412
8652.446356	32369
8666.09008	32303
8724.695273	31933
8737.821638	31951
8671.974227	32275
8674.707557	32273
8674.707557	32273
8713.068127	32033
8759.673983	31873
8743.544403	31942
8692.390606	32185
8690.494207	32190
8683.754931	32214
8704.833199	32126
8704.200078	32125
8713.490649	32072
8712.223146	32084
8713.913193	32078
8735.491263	31976
8733.796853	31982
8731.679323	31995
8800.561595	31645
8818.513063	31570
8746.089111	31932
8743.756432	31933
8831.144956	31542
8795.439686	31687
8796.293119	31684
8799.06738	31683
8804.191516	31662
8907.773325	31171
8895.240772	31226
8836.717629	31503
8835.002564	31513
8837.575294	31501
8839.505362	31488
8916.860414	31125
8920.108209	31117
8860.335613	31398
8867.434074	31351
8974.207679	30862
8964.40457	30918
8956.135384	30947
8956.352889	30940
8974.207679	30866
8983.804137	30819
8977.696018	30850
8984.458845	30817
8985.113604	30805
8984.895345	30812
8967.453187	30956
8922.707358	31101
8931.377056	31064
8947.005317	30995
9016.383834	30669
9016.822016	30665
8957.005438	30939
8957.005438	30948
8962.010012	30922
8975.733647	30863
8976.823796	30867
8972.246132	30875
8977.041843	30850
8979.440737	30837
8982.713072	30827
8981.62215	30829
8982.276686	30828
8991.882475	30787
8992.100918	30783
9006.749675	30723
9008.500508	30718
9015.507539	30682
9023.6168	30637
9031.075546	30607
9042.276256	30547
9069.793132	30423
9070.013636	30429
9069.572634	30437
9158.689471	30032
9169.84109	29978
9172.966242	29965
9168.055819	29991
9180.337352	29941
9197.562232	29844
9105.591501	30268
9107.806356	30257
9109.135554	30248
9109.800233	30244
9110.686555	30245
9114.897879	30234
9117.780546	30222
9127.766772	30167
9135.097672	30135
9134.65319	30137
9139.099085	30115
9145.99495	30080
9163.817347	30009
9168.725251	29979
9170.287468	29977
9171.84998	29976
9286.267102	29471
9285.361732	29465
9287.625345	29458
9287.172572	29455
9292.380957	29446
9245.39837	29640
