t (s)	θ (rad)
0.0	-0.02769895853735639
8.333333333333334E-4	-0.08314123188844114
0.0016666666666666668	-0.14189705460416424
0.0025000000000000005	-0.08314123188844114
0.0033333333333333335	-0.029403288204005888
0.004166666666666667	0.0
0.005000000000000001	-0.05708078240626495
0.005833333333333333	0.0
0.006666666666666667	-0.027770636593420647
0.007500000000000001	0.027770636593420675
0.008333333333333333	0.08550529367820471
0.009166666666666668	0.1418970546041633
0.010000000000000002	0.19204801724072992
0.010833333333333334	0.1651486774146258
0.011666666666666665	0.23109066719589644
0.012500000000000002	0.286051441717318
0.013333333333333334	0.30288486837497125
0.014166666666666668	0.34097895349634877
0.015000000000000001	0.42662749312687465
0.015833333333333335	0.48833395105640476
0.016666666666666666	0.4124104415973865
0.0175	0.5016040541891195
0.018333333333333337	0.5404195002705833
0.01916666666666667	0.5961991412974794
0.020000000000000004	0.5961991412974794
0.020833333333333336	0.6498704494119475
0.021666666666666667	0.6986598247214617
0.022500000000000003	0.741947268005917
0.02333333333333333	0.6986598247214626
0.024166666666666666	0.8050034942546536
0.025000000000000005	0.827040742496037
0.025833333333333333	0.8913825213870487
0.02666666666666667	0.9151007005533606
0.0275	0.9652516631899262
0.028333333333333335	1.008874764538081
0.029166666666666664	0.9652516631899262
0.030000000000000002	1.0358412530087988
0.030833333333333338	1.078987150806199
0.03166666666666667	1.1784561825793807
0.03250000000000001	1.2014626691212709
0.03333333333333333	1.2397002500907643
0.03416666666666667	1.2679114584199243
0.035	1.3101939350475564
0.035833333333333335	1.2882413743253076
0.036666666666666674	1.3854483767992016
0.0375	1.4157995848709553
0.03833333333333334	1.4801364395941525
0.03916666666666667	1.510264307012788
0.04000000000000001	1.5707963267948966
0.04083333333333333	1.5707963267948966
0.04166666666666667	1.664273107953485
0.0425	1.6951513213416591
0.043333333333333335	1.7454685258031386
0.04416666666666668	1.7506498265873776
0.045000000000000005	1.8000282600718944
0.04583333333333334	1.8449637779145547
0.04666666666666666	1.8736811951698669
0.04750000000000001	1.922241120798449
0.04833333333333333	1.9401299844685203
0.04916666666666667	1.9949907346986633
0.05000000000000001	2.0074234866084377
0.050833333333333335	2.089942441041421
0.051666666666666666	2.074962288274049
0.0525	2.2083451249335893
0.05333333333333334	2.28962632641652
0.05416666666666667	2.308611386915361
0.055	2.3339759248656264
0.05583333333333334	2.378413055519063
0.05666666666666667	2.44293282886833
0.05750000000000001	2.4199378027250305
0.05833333333333333	2.4805494847391056
0.05916666666666667	2.5453935122923137
0.060000000000000005	2.5702551737561663
0.06083333333333334	2.6113768808131628
0.061666666666666675	2.5959375990628013
0.0625	2.6224465393432714
0.06333333333333334	2.6779450445889865
0.06416666666666668	2.7557099841917196
0.06500000000000002	2.790147859586241
0.06583333333333334	2.809533186046908
0.06666666666666667	2.8387077852148215
0.06750000000000002	2.8809902618424523
0.06833333333333334	2.932569710783528
0.06916666666666668	2.9912212255826587
0.07	3.0481158724312034
0.07083333333333333	3.1121893653857886
0.07166666666666667	3.084511871183529
0.0725	3.0810606338076862
0.07333333333333335	3.2040114635857506
0.07416666666666667	3.2322525407905385
0.075	3.235069434748383
0.07583333333333334	3.269915881275588
0.07666666666666667	3.2553846607335015
0.0775	3.386571316716658
0.07833333333333334	3.386571316716657
0.07916666666666668	3.4330494480676603
0.08000000000000002	3.516863476445751
0.08083333333333334	3.5505004825407185
0.08166666666666667	3.5922539796704283
0.08250000000000002	3.6052402625905997
0.08333333333333334	3.605240262590601
0.08416666666666668	3.6180600730635004
0.085	3.6180600730635004
0.08583333333333334	3.6820121538603785
0.08666666666666667	3.6676590725865577
0.08750000000000001	3.7850937623830783
0.08833333333333336	3.8292639096285233
0.08916666666666667	3.885348237888653
0.09000000000000001	3.9473961476737793
0.09083333333333335	3.968633396085831
0.09166666666666667	4.074840182245998
0.0925	4.074840182246
0.09333333333333332	4.132386206177009
0.09416666666666668	4.14781958671659
0.09500000000000001	4.13238620617701
0.09583333333333334	4.21078492619557
0.09666666666666666	4.2617276543040585
0.0975	4.2617276543040585
0.09833333333333334	4.32650631098662
0.09916666666666667	4.363617976800784
0.10000000000000002	4.407878097182578
0.10083333333333336	4.446136931233764
0.10166666666666667	4.453618088420992
0.10249999999999998	4.542610706416355
0.10333333333333333	4.574382956727171
0.10416666666666666	4.595280235817828
0.105	4.621729093183947
0.10583333333333333	4.7123889803846915
0.10666666666666667	4.76788748563041
0.10750000000000001	4.833012648964793
0.10833333333333334	4.862760408391827
0.10916666666666666	4.800396353912434
0.11	4.897736930380389
0.11083333333333333	4.9573676435115575
0.11166666666666668	5.015273848759664
0.1125	4.964943256162753
0.11333333333333334	5.003845774862558
0.11416666666666667	5.136583388288458
0.11500000000000002	5.087659803240648
0.11583333333333334	5.262242163061278
0.11666666666666665	5.213993034573814
0.1175	5.283726460218323
0.11833333333333335	5.343468367856023
0.11916666666666667	5.368084606626231
0.12000000000000001	5.407127256581398
0.12083333333333335	5.434043831249456
0.12166666666666669	5.4523638643605645
0.12250000000000001	5.543210423203721
0.12333333333333335	5.52000570910886
0.12416666666666669	5.627489680938053
0.125	5.627489680938053
0.12583333333333335	5.67764064357462
0.12666666666666668	5.7427658069090075
0.1275	5.764039192933066
0.12833333333333335	5.791376131190891
0.12916666666666668	5.902678930067224
0.13000000000000003	5.846558147366049
0.13083333333333338	5.886105861954607
0.13166666666666668	5.886105861954607
0.1325	5.9711431856170565
0.13333333333333333	6.03063103140153
0.13416666666666668	6.030631031401531
0.13500000000000004	6.123272184021371
0.13583333333333333	6.192525419978844
