time (s)	x position (m)	y position (m)
0.5939999999999998	4.275411995644515	1.2508356616366219
0.6269999999999999	4.201367676863419	1.2449088569229347
0.66	4.153581263962686	1.2351737347751688
0.6929999999999998	4.0881667696182555	1.2337921126362936
0.726	4.040196140432341	1.2327789230677852
0.7589999999999999	3.983411470524575	1.2359424835037223
0.792	3.9264425843316273	1.2478279765189169
0.8249999999999998	3.8739267725708997	1.2554446113870743
0.8579999999999998	3.83458596782165	1.2589766043933779
0.8909999999999999	3.790884196782771	1.2624164892570897
0.9239999999999998	3.7470903176013013	1.2702173404104307
0.9569999999999999	3.7032964384198306	1.2780181915637712
0.9899999999999998	3.6596867755235434	1.2770971101378545
1.023	3.6203459707742938	1.2806291031441581
1.0559999999999998	3.581097274167635	1.2798001298608332
1.089	3.528857786834682	1.2743338658601044
1.1219999999999997	3.485432340223579	1.2646908518549305
1.155	3.454997684338769	1.2596851285671598
1.188	3.407027055152854	1.2586719389986514
1.221	3.367962574831379	1.2491210331360691
1.2539999999999998	3.311362121208797	1.2435626609927488
1.2869999999999997	3.2591226338758443	1.23809639699202
1.3199999999999998	3.2024300721106718	1.2368989911383281
1.3529999999999998	3.154551551067348	1.231524835280191
1.3859999999999997	3.10203573930662	1.2391414701483487
1.419	3.049704143831075	1.2380361724372486
1.4519999999999995	2.988558507633682	1.2411076247305937
1.4849999999999997	2.9362269121581375	1.2400023270194938
1.5179999999999996	2.888072066687038	1.2477110700302427
1.5509999999999997	2.844093971220384	1.2642338537628408
1.5839999999999999	2.8088378083329886	1.2809408537806222
1.6169999999999995	2.765228145436701	1.2800197723547055
1.6499999999999995	2.726071556972635	1.2748298327817518
1.6829999999999998	2.6825540022189394	1.2695477850662065
1.7159999999999997	2.6390364474652435	1.264265737350661
1.7489999999999994	2.599971967143769	1.2547148314880787
1.7819999999999996	2.560907486822294	1.2451639256254963
1.8149999999999997	2.5174820402111906	1.2355209116203218
1.8479999999999999	2.4739644854574947	1.2302388639047765
1.881	2.4085499911130643	1.2288572417659016
1.9139999999999995	2.347312246773079	1.2362896603488756
1.9469999999999998	2.2904354687227224	1.2438141870744412
1.9799999999999998	2.2378275488194035	1.2557917882322274
2.013	2.185311737058676	1.2634084231003846
2.046	2.141609966019797	1.2668483079640966
2.079	2.0978160868383267	1.2746491591174374
2.112	2.0453923832201903	1.2779048276959661
2.145	2.0059594703283485	1.2857977869918984
2.1780000000000004	1.9535357667102122	1.289053455570427
2.2109999999999994	1.9142870701035544	1.288224482287102
2.2439999999999993	1.870769515349859	1.2829424345715565
2.2769999999999997	1.836066001318013	1.2734836368515658
2.31	1.7839186221276517	1.2636564065612086
2.343	1.7405852836591393	1.2496524262664055
2.375999999999999	1.688345796326187	1.244186162265677
2.408999999999999	1.623023410124348	1.238443573837173
2.4419999999999997	1.5706918146488038	1.237338276126073
2.4749999999999996	1.5096382865940017	1.2360487621297895
2.5079999999999996	1.4529457248288284	1.2348513562760979
2.5409999999999995	1.4005220212106928	1.2381070248546266
2.574	1.3480983175925565	1.2413626934331552
2.607	1.2912215395422002	1.248887220158721
2.64	1.247335552218138	1.2610490376016903
2.6729999999999996	1.2079026393262964	1.2689419968976228
2.7059999999999995	1.164108760144826	1.2767428480509633
2.7389999999999994	1.129128921685205	1.2803669491998586
2.7719999999999994	1.0987863739429873	1.2710002596224597
2.805	1.055268819189292	1.2657182119069141
2.838	1.0115670481504133	1.2691580967706262
2.871	0.9639648515348639	1.250701042043603
2.904	0.911817472344503	1.2408738117532454
2.9370000000000003	0.8683920257333991	1.2312307977480714
2.9699999999999998	0.8204213965474836	1.230217608179563
3.0029999999999997	0.7550990103456446	1.2244750197510592
3.0359999999999996	0.6805941508515901	1.240353046485516
3.069	0.6193564065116048	1.2477854650684899
3.101999999999999	0.553757695881991	1.255125775508872
3.134999999999999	0.4969730259742265	1.258289335944809
3.1679999999999993	0.44464143049868193	1.257184038233709
3.2009999999999996	0.3921256187379543	1.2648006731018664
3.2339999999999995	0.3397940232624097	1.2636953753907663
3.2669999999999995	0.2830093533546448	1.2668589358267035
3.2999999999999994	0.2349466160261376	1.2702067125478238
